Autophagy_related_gene_symbol	ID	Correlation_coefficient	P-value	Host_gene of circRNA	CircRNA_chromosomal_position (hg19)	Mean_expression	Log2FoldChange	FDR	Change	circbaseID
BECN1	circ_103072	-0.305198792	0.000199528	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
CALCOCO2	circ_103072	-0.438703533	3.80E-08	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
ITGA3	circ_103072	-0.425274616	1.08E-07	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
ITGB4	circ_103072	-0.391594578	1.21E-06	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
GAA	circ_103072	-0.311820893	0.000142065	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
RPTOR	circ_103072	-0.504752643	1.11E-10	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
HGS	circ_103072	-0.49257097	3.59E-10	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
BCL2L1	circ_103072	-0.459098445	7.14E-09	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
MAP1LC3A	circ_103072	-0.331844095	4.84E-05	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
TP53INP2	circ_103072	-0.315486703	0.000117308	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
RGS19	circ_103072	-0.304566563	0.000206018	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
STK11	circ_103072	-0.465775451	4.03E-09	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
MAP2K7	circ_103072	-0.464344371	4.56E-09	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
ATG4D	circ_103072	-0.411768716	2.94E-07	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
SIRT2	circ_103072	-0.350547187	1.65E-05	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
PPP1R15A	circ_103072	-0.304254201	0.000209297	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
ARSA	circ_103072	-0.463982902	4.71E-09	TXLNGY	chrY:21749095-21749393	2.64571803	1.102430089	0.034182644	Up	hsa_circ_0009024
VAMP3	circ_111341	-0.388813341	1.46E-06	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
MTOR	circ_111341	0.408516817	3.71E-07	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
ARNT	circ_111341	-0.309289168	0.000161918	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
CAPN2	circ_111341	-0.317383656	0.000106137	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
PARP1	circ_111341	-0.339600784	3.13E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
NFE2L2	circ_111341	-0.307392772	0.000178449	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
NCKAP1	circ_111341	-0.366819717	6.12E-06	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
RAB7A	circ_111341	-0.421829468	1.40E-07	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
KLHL24	circ_111341	-0.326093743	6.65E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
RAB33B	circ_111341	-0.399830495	6.88E-07	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
CASP3	circ_111341	-0.477009	1.50E-09	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
ATG5	circ_111341	-0.362190563	8.16E-06	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
GOPC	circ_111341	-0.301521657	0.000240117	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
RHEB	circ_111341	-0.317907005	0.000103235	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
MYC	circ_111341	0.31394529	0.000127182	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
ITGB1	circ_111341	-0.338178829	3.39E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
BNIP3	circ_111341	0.345461753	2.23E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
CASP1	circ_111341	-0.329741671	5.44E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
DRAM1	circ_111341	-0.374671787	3.72E-06	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
CAMKK2	circ_111341	0.581517914	2.13E-14	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
PRKAR1A	circ_111341	-0.345091427	2.28E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
NPC1	circ_111341	-0.313429891	0.000130653	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
BCL2	circ_111341	-0.322864024	7.92E-05	REPS2	chrX:17047648-17121902	1.078938165	1.830338597	0.004248244	Up	hsa_circ_0139986
SH3GLB1	circ_28769	0.304648073	0.000205171	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
TP63	circ_28769	0.38539297	1.84E-06	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
EGFR	circ_28769	0.303322358	0.000219368	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
CTSB	circ_28769	0.310323842	0.000153512	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
HSPB8	circ_28769	0.430736153	7.09E-08	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
FOXO1	circ_28769	0.333555084	4.40E-05	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
ITGA3	circ_28769	0.318254677	0.000101348	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
TP53INP2	circ_28769	0.300589698	0.000251557	ZFX	chrX:24190831-24197887	1.168180445	-1.431104705	6.90E-10	Down	hsa_circ_0007108
EIF4EBP1	circ_178315	0.329271046	5.58E-05	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
IKBKB	circ_178315	0.423760327	1.21E-07	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
ULK3	circ_178315	0.329091172	5.64E-05	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
MLST8	circ_178315	0.302062328	0.000233703	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
TP53	circ_178315	0.359437803	9.67E-06	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
BECN1	circ_178315	0.339427919	3.16E-05	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
PTK6	circ_178315	0.368082639	5.66E-06	CDR1-AS	chrX:139865340-139866825	3.630161428	-1.716510426	0.002754067	Down	NA
VAMP3	circ_115054	0.39073885	1.29E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
DIRAS3	circ_115054	0.381421099	2.40E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
SH3GLB1	circ_115054	0.386420186	1.72E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CXCR4	circ_115054	0.368005392	5.68E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
NFE2L2	circ_115054	0.3630273	7.75E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
NCKAP1	circ_115054	0.305042659	0.000201113	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
ATIC	circ_115054	0.31319665	0.000132253	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CCR2	circ_115054	0.398229836	7.69E-07	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
TP63	circ_115054	0.39442086	1.00E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
EGFR	circ_115054	0.315884616	0.000114877	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CTSB	circ_115054	0.387400426	1.61E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
DLC1	circ_115054	0.339414092	3.16E-05	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
BNIP3L	circ_115054	0.336601008	3.71E-05	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
BAG1	circ_115054	0.334139239	4.26E-05	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
PRKCQ	circ_115054	0.413727049	2.55E-07	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CASP1	circ_115054	0.487871234	5.57E-10	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
DRAM1	circ_115054	0.425297956	1.07E-07	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
FOXO1	circ_115054	0.459107052	7.14E-09	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CX3CL1	circ_115054	0.387817874	1.57E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
MAP1LC3B	circ_115054	0.451141696	1.39E-08	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
ITGB4	circ_115054	0.308007794	0.000172923	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
NPC1	circ_115054	0.328590535	5.80E-05	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
BCL2	circ_115054	0.300967735	0.000246857	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
CHMP4B	circ_115054	0.364028335	7.29E-06	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
RGS19	circ_115054	0.31031215	0.000153604	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
APOL1	circ_115054	0.396550192	8.64E-07	N4BP2L2	chr13:33091993-33101669	11.23757	-1.086504424	2.61E-10	Down	hsa_circ_0000471
DIRAS3	circ_44738	-0.338384851	3.35E-05	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
CFLAR	circ_44738	-0.315108237	0.000119664	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
TP63	circ_44738	-0.351990767	1.52E-05	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
CANX	circ_44738	0.360722627	8.94E-06	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
DNAJB9	circ_44738	0.372125235	4.38E-06	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
ATG4A	circ_44738	0.381005765	2.46E-06	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
BNIP3	circ_44738	0.330852018	5.12E-05	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
HSPB8	circ_44738	-0.304810374	0.000203492	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
FOXO1	circ_44738	-0.300442317	0.000253412	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
CX3CL1	circ_44738	-0.30014442	0.0002572	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
ITGA3	circ_44738	-0.3012265	0.000243687	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
ITGB4	circ_44738	-0.33231942	4.71E-05	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
P4HB	circ_44738	0.322702901	7.99E-05	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
BCL2	circ_44738	-0.412402196	2.80E-07	ABCC4	chr13:95686858-95715113	0.875483958	2.977567365	0.018209578	Up	hsa_circ_0008463
VAMP3	circ_98682	-0.339279233	3.18E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
SH3GLB1	circ_98682	-0.310547525	0.000151748	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
ARNT	circ_98682	-0.32819553	5.92E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
NFE2L2	circ_98682	-0.33451197	4.17E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
ITPR1	circ_98682	-0.367458161	5.88E-06	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
TP63	circ_98682	-0.344896734	2.30E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
WDFY3	circ_98682	-0.332119321	4.77E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
ATG5	circ_98682	-0.379242997	2.76E-06	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
FOXO3	circ_98682	-0.35425221	1.32E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
GOPC	circ_98682	-0.390016849	1.35E-06	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
PRKN	circ_98682	-0.307212441	0.0001801	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
MAPK8	circ_98682	-0.335056471	4.04E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
BNIP3	circ_98682	0.301108023	0.000245134	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
UVRAG	circ_98682	-0.303800478	0.000214146	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
CASP1	circ_98682	-0.324180772	7.37E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
HSPB8	circ_98682	-0.32725063	6.24E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
CAMKK2	circ_98682	0.41220013	2.85E-07	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
SUPT20H	circ_98682	-0.348302087	1.89E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
FOXO1	circ_98682	-0.372245215	4.34E-06	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
DAPK2	circ_98682	-0.313780281	0.000128284	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
CX3CL1	circ_98682	-0.313636666	0.00012925	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
ITGA3	circ_98682	-0.375533383	3.52E-06	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
PRKAR1A	circ_98682	-0.304023378	0.000211751	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
ITGB4	circ_98682	-0.302979906	0.000223181	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
NPC1	circ_98682	-0.409663181	3.42E-07	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
BCL2	circ_98682	-0.342561789	2.64E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
TP53INP2	circ_98682	-0.323423892	7.68E-05	ABCC4	chr13:95686858-95735544	0.648031432	3.489653875	0.026749541	Up	hsa_circ_0030569
PEX14	circ_176722	-0.339893978	3.07E-05	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
SESN2	circ_176722	-0.320244345	9.12E-05	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
DIRAS3	circ_176722	-0.493052643	3.43E-10	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
SH3GLB1	circ_176722	-0.310973086	0.000148446	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
ARNT	circ_176722	-0.394569432	9.90E-07	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
CFLAR	circ_176722	-0.47669039	1.54E-09	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
TP63	circ_176722	-0.427263382	9.25E-08	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
CANX	circ_176722	0.358371703	1.03E-05	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
SQSTM1	circ_176722	-0.31071084	0.000150473	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
ATG4A	circ_176722	0.370698134	4.79E-06	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
CTSB	circ_176722	-0.366114127	6.40E-06	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
AMBRA1	circ_176722	-0.303106474	0.000221765	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
CAPN1	circ_176722	-0.300100605	0.000257762	ABCC4	chr13:95768175-95840796	6.789216833	2.201712125	3.53E-07	Up	hsa_circ_0030582
